,id,listing_url,latitude,longitude,neighbourhood_group_cleansed
451,839839486162945362,https://www.airbnb.com/rooms/839839486162945362,40.6782079578601,-73.95278473749403,Brooklyn
452,6798811,https://www.airbnb.com/rooms/6798811,40.61247,-73.94902,Brooklyn
453,6901484,https://www.airbnb.com/rooms/6901484,40.721,-73.95924,Brooklyn
455,7599569,https://www.airbnb.com/rooms/7599569,40.69367,-73.9307,Brooklyn
457,6967201,https://www.airbnb.com/rooms/6967201,40.79126,-73.96738,Manhattan
458,7629563,https://www.airbnb.com/rooms/7629563,40.68316,-73.92761,Brooklyn
459,6939024,https://www.airbnb.com/rooms/6939024,40.7253,-73.98962,Manhattan
461,6994064,https://www.airbnb.com/rooms/6994064,40.70469,-73.94133,Brooklyn
463,702182051146913189,https://www.airbnb.com/rooms/702182051146913189,40.73234627912838,-73.84721231911035,Queens
464,7659042,https://www.airbnb.com/rooms/7659042,40.70036,-73.91723,Brooklyn
465,7024303,https://www.airbnb.com/rooms/7024303,40.69039,-73.95947,Brooklyn
467,7240002,https://www.airbnb.com/rooms/7240002,40.80738,-73.96179,Manhattan
468,7246159,https://www.airbnb.com/rooms/7246159,40.78963,-73.97898,Manhattan
470,7835470,https://www.airbnb.com/rooms/7835470,40.68831,-73.94081,Brooklyn
471,722328771203163875,https://www.airbnb.com/rooms/722328771203163875,40.67406,-73.76267,Queens
472,7834733,https://www.airbnb.com/rooms/7834733,40.68244,-73.95753,Brooklyn
476,25476838,https://www.airbnb.com/rooms/25476838,40.90341,-73.90199,Bronx
478,762599172570463796,https://www.airbnb.com/rooms/762599172570463796,40.736906,-73.861374,Queens
479,49275777,https://www.airbnb.com/rooms/49275777,40.64509,-73.94641,Brooklyn
481,844346753792893174,https://www.airbnb.com/rooms/844346753792893174,40.69139522903785,-73.95626159127957,Brooklyn
483,7921643,https://www.airbnb.com/rooms/7921643,40.69011,-73.98053,Brooklyn
484,995731222790857879,https://www.airbnb.com/rooms/995731222790857879,40.646408565462536,-73.95306680690926,Brooklyn
485,52397728,https://www.airbnb.com/rooms/52397728,40.64356,-73.99233,Brooklyn
